license_guid,license_term,license_description,license_link,license_version
L022,CC BY-SA 3.0 IT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Italien)',https://creativecommons.org/licenses/by-sa/3.0/it/,3.0
L023,CC BY-SA 3.0 PT,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Portugal)',https://creativecommons.org/licenses/by-sa/3.0/pt/,3.0
L024,CC BY-SA 3.0 TW,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 3.0 (Taiwan)',https://creativecommons.org/licenses/by-sa/3.0/tw/,3.0
L025,CC BY-SA 2.5,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5',https://creativecommons.org/licenses/by-sa/2.5/,2.5
L026,CC BY-SA 2.5 AU,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Australien)',https://creativecommons.org/licenses/by-sa/2.5/au/,2.5
L027,CC BY-SA 2.5 BR,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Brasilien)',https://creativecommons.org/licenses/by-sa/2.5/br/,2.5
L028,CC BY-SA 2.5 CA,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Kanada)',https://creativecommons.org/licenses/by-sa/2.5/ca/,2.5
L029,CC BY-SA 2.5 CH,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Schweiz)',https://creativecommons.org/licenses/by-sa/2.5/ch/,2.5
L030,CC BY-SA 2.5 CO,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Kolumbien)',https://creativecommons.org/licenses/by-sa/2.5/co/,2.5
L031,CC BY-SA 2.5 CN,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (China)',https://creativecommons.org/licenses/by-sa/2.5/cn/,2.5
L032,CC BY-SA 2.5 ES,'Creative Commons – Namensnennung, Weitergabe unter gleichen Bedingungen 2.5 (Spanien)',https://creativecommons.org/licenses/by-sa/2.5/es/,2.5
